name,description,price,category,size,color,stock,image_url
Classic Cotton T-Shirt,Premium cotton t-shirt for everyday wear. Made from 100% organic cotton.,499,men,M,Black,50,https://images.unsplash.com/photo-1521572163474-6864f9cf17ac?w=400
Classic Cotton T-Shirt,Premium cotton t-shirt for everyday wear. Made from 100% organic cotton.,499,men,L,Black,75,https://images.unsplash.com/photo-1521572163474-6864f9cf17ac?w=400
Classic Cotton T-Shirt,Premium cotton t-shirt for everyday wear. Made from 100% organic cotton.,499,men,XL,White,60,https://images.unsplash.com/photo-1521572163474-6864f9cf17ac?w=400
Slim Fit Jeans,Comfortable slim fit jeans with stretch fabric for all-day comfort.,1299,men,30,Blue,30,https://images.unsplash.com/photo-1542272604-787c2936fb58?w=400
Slim Fit Jeans,Comfortable slim fit jeans with stretch fabric for all-day comfort.,1299,men,32,Blue,45,https://images.unsplash.com/photo-1542272604-787c2936fb58?w=400
Slim Fit Jeans,Comfortable slim fit jeans with stretch fabric for all-day comfort.,1299,men,34,Black,25,https://images.unsplash.com/photo-1542272604-787c2936fb58?w=400
Floral Summer Dress,Beautiful floral pattern dress perfect for summer outings.,899,women,S,Pink,25,https://images.unsplash.com/photo-1572804013309-59a40a1c1a3c?w=400
Floral Summer Dress,Beautiful floral pattern dress perfect for summer outings.,899,women,M,Yellow,30,https://images.unsplash.com/photo-1572804013309-59a40a1c1a3c?w=400
Floral Summer Dress,Beautiful floral pattern dress perfect for summer outings.,899,women,L,White,20,https://images.unsplash.com/photo-1572804013309-59a40a1c1a3c?w=400
Running Sneakers,Lightweight running shoes with cushioned sole for maximum comfort.,2499,footwear,9,White,40,https://images.unsplash.com/photo-1542291827-3477fba1e8e8?w=400
Running Sneakers,Lightweight running shoes with cushioned sole for maximum comfort.,2499,footwear,10,Black,35,https://images.unsplash.com/photo-1542291827-3477fba1e8e8?w=400
Casual Polo Shirt,Classic polo t-shirt with collar. Perfect for casual and semi-formal occasions.,699,men,L,Navy,35,https://images.unsplash.com/photo-1625912412160-2d7a3a7b7e4d?w=400
Casual Polo Shirt,Classic polo t-shirt with collar. Perfect for casual and semi-formal occasions.,699,men,XL,Grey,40,https://images.unsplash.com/photo-1625912412160-2d7a3a7b7e4d?w=400
Ethnic Kurta,Traditional cotton kurta with elegant embroidery. Perfect for festive occasions.,1499,ethnic,M,Maroon,15,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=400
Ethnic Kurta,Traditional cotton kurta with elegant embroidery. Perfect for festive occasions.,1499,ethnic,L,Cream,20,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=400
Kids Party Dress,Adorable party dress for kids. Perfect for birthdays and special occasions.,599,kids,4-5,Pink,20,https://images.unsplash.com/photo-1518831959646-4c4de06c6d3d?w=400
Kids Party Dress,Adorable party dress for kids. Perfect for birthdays and special occasions.,599,kids,6-7,Blue,15,https://images.unsplash.com/photo-1518831959646-4c4de06c6d3d?w=400
Sportswear Trackpants,Comfortable trackpants for sports and casual wear.,799,sportswear,M,Black,45,https://images.unsplash.com/photo-1506629082917-f5f06d6f6e90?w=400
Sportswear Trackpants,Comfortable trackpants for sports and casual wear.,799,sportswear,L,Grey,50,https://images.unsplash.com/photo-1506629082917-f5f06d6f6e90?w=400
Leather Belt,Premium leather belt with metal buckle. Perfect for formal and casual wear.,399,accessories,Free Size,Brown,100,https://images.unsplash.com/photo-1553062407-98eeb7d5045a?w=400
